2018-11-24 14:05,EPL2775,Sem restrição,39237,I/CITROEN C4 20GLX5P F,I/CITROEN C4 20GLX5P F,Prata,2010,SAO JOSE DOS CAMPOS,SP
2018-11-24 14:07,EPL2775,Sem restrição,39237,I/CITROEN C4 20GLX5P F,I/CITROEN C4 20GLX5P F,Prata,2010,SAO JOSE DOS CAMPOS,SP
2018-11-24 14:07,OSZ9557,Sem restrição,15677,VW/SAVEIRO 1.6 ENGESIG A,VW/SAVEIRO 1.6 ENGESIG A,Branca,2013,BREU BRANCO,PA
2018-11-24 14:09,DSZ9557,Sem restrição,68869,I/PEUGEOT 307 16 FX PR,I/PEUGEOT 307 16 FX PR,Prata,2007,SAO JOSE DOS CAMPOS,SP
2018-11-24 14:09,EPL2775,Sem restrição,39237,I/CITROEN C4 20GLX5P F,I/CITROEN C4 20GLX5P F,Prata,2010,SAO JOSE DOS CAMPOS,SP
2018-11-24 14:18,EPL2775,Sem restrição,39237,I/CITROEN C4 20GLX5P F,I/CITROEN C4 20GLX5P F,Prata,2010,SAO JOSE DOS CAMPOS,SP
2018-11-24 14:18,OSZ9557,Sem restrição,15677,VW/SAVEIRO 1.6 ENGESIG A,VW/SAVEIRO 1.6 ENGESIG A,Branca,2013,BREU BRANCO,PA
2018-11-24 15:04,OSZ9557,Sem restrição,15677,VW/SAVEIRO 1.6 ENGESIG A,VW/SAVEIRO 1.6 ENGESIG A,Branca,2013,BREU BRANCO,PA
2018-11-24 15:04,EPL2775,Sem restrição,39237,I/CITROEN C4 20GLX5P F,I/CITROEN C4 20GLX5P F,Prata,2010,SAO JOSE DOS CAMPOS,SP
2018-11-24 15:30,EPL2775,Sem restrição,39237,I/CITROEN C4 20GLX5P F,I/CITROEN C4 20GLX5P F,Prata,2010,SAO JOSE DOS CAMPOS,SP
2018-11-24 15:30,DSZ9557,Sem restrição,68869,I/PEUGEOT 307 16 FX PR,I/PEUGEOT 307 16 FX PR,Prata,2007,SAO JOSE DOS CAMPOS,SP
